domain,support_seed,arm,variant,condition,temperature,count,macro_f1,balanced_accuracy,nll,brier,ece
turkey-earthquake,0,frozen,raw,jpeg40,4.226978079673295,60,0.38053830227743274,0.425925925925926,1.344158992041603,0.7483520471239636,0.18924276619748115
turkey-earthquake,0,frozen,temperature,jpeg40,4.226978079673295,60,0.38053830227743274,0.425925925925926,1.1060473580454195,0.6694533798969022,0.06628196132103167
turkey-earthquake,0,frozen,raw,jpeg70,4.226978079673295,60,0.3147775542141739,0.3703703703703704,1.341235610724984,0.749716357080792,0.1706158651680737
turkey-earthquake,0,frozen,temperature,jpeg70,4.226978079673295,60,0.3147775542141739,0.3703703703703704,1.1064254026508569,0.6697638294574857,0.10624022075440429
turkey-earthquake,0,lora1,raw,clean,2.5178508235883355,60,0.2634146341463415,0.35185185185185186,1.3263153623361166,0.7900193339999043,0.20229764567288136
turkey-earthquake,0,lora1,temperature,clean,2.5178508235883355,60,0.2634146341463415,0.35185185185185186,1.1562955884634551,0.7025641391802754,0.09331520194773468
turkey-earthquake,0,lora1,raw,gaussian4,2.5178508235883355,60,0.2851851851851852,0.3888888888888889,1.3267728399371037,0.7909595386380367,0.17962485010038282
turkey-earthquake,0,lora1,temperature,gaussian4,2.5178508235883355,60,0.2851851851851852,0.3888888888888889,1.1562417185888343,0.7024880460254869,0.09180148181864539
turkey-earthquake,0,lora1,raw,gaussian8,2.5178508235883355,60,0.3001443001443001,0.40740740740740744,1.3144481520233984,0.7810035101887164,0.15536878547589789
turkey-earthquake,0,lora1,temperature,gaussian8,2.5178508235883355,60,0.3001443001443001,0.40740740740740744,1.150758998771771,0.6987007383018619,0.04469564296721576
turkey-earthquake,0,lora1,raw,jpeg40,2.5178508235883355,60,0.3023362345396244,0.40740740740740744,1.3060588390588967,0.7796036319011681,0.15443125398575713
turkey-earthquake,0,lora1,temperature,jpeg40,2.5178508235883355,60,0.3023362345396244,0.40740740740740744,1.1484793578748267,0.6975326945151621,0.04382510284398864
turkey-earthquake,0,lora1,raw,jpeg70,2.5178508235883355,60,0.2941970310391363,0.38888888888888884,1.305309164669128,0.778234791242072,0.16977553525243652
